user_skill,esco_skill,domain
docker,use containerisation tools,IT & DevOps & Cloud
kubernetes,orchestrate software containers,IT & DevOps & Cloud
podman,use containerisation tools,IT & DevOps & Cloud
helm,orchestrate software containers,IT & DevOps & Cloud
ci/cd pipelines,software deployment,IT & DevOps & Cloud
ci/cd,software deployment,IT & DevOps & Cloud
jenkins,automate software builds,IT & DevOps & Cloud
github actions,automate software builds,IT & DevOps & Cloud
gitlab ci,automate software builds,IT & DevOps & Cloud
ansible,automate IT operations,IT & DevOps & Cloud
terraform,manage cloud infrastructure,IT & DevOps & Cloud
puppet,automate IT operations,IT & DevOps & Cloud
chef,automate IT operations,IT & DevOps & Cloud
aws,use cloud computing services,IT & DevOps & Cloud
azure,use cloud computing services,IT & DevOps & Cloud
google cloud,use cloud computing services,IT & DevOps & Cloud
gcp,use cloud computing services,IT & DevOps & Cloud
cloud computing,use cloud computing services,IT & DevOps & Cloud
serverless,develop cloud applications,IT & DevOps & Cloud
lambda,develop cloud applications,IT & DevOps & Cloud
azure functions,develop cloud applications,IT & DevOps & Cloud
git,use version control systems,IT & DevOps & Cloud
github,use version control systems,IT & DevOps & Cloud
gitlab,use version control systems,IT & DevOps & Cloud
bitbucket,use version control systems,IT & DevOps & Cloud
linux,use operating system software,IT & DevOps & Cloud
bash,write scripts,IT & DevOps & Cloud
shell scripting,write scripts,IT & DevOps & Cloud
powershell,write scripts,IT & DevOps & Cloud
grafana,monitor ICT systems,IT & DevOps & Cloud
prometheus,monitor ICT systems,IT & DevOps & Cloud
splunk,monitor ICT systems,IT & DevOps & Cloud
datadog,monitor ICT systems,IT & DevOps & Cloud
elk stack,monitor ICT systems,IT & DevOps & Cloud
tcp/ip,apply network protocols,IT & DevOps & Cloud
dns,manage network systems,IT & DevOps & Cloud
vpn,manage network security,IT & DevOps & Cloud
load balancing,manage network systems,IT & DevOps & Cloud
nginx,manage web servers,IT & DevOps & Cloud
apache,manage web servers,IT & DevOps & Cloud
penetration testing,test ICT security,IT & DevOps & Cloud
ethical hacking,test ICT security,IT & DevOps & Cloud
firewall,manage network security,IT & DevOps & Cloud
siem,manage ICT security,IT & DevOps & Cloud
oauth,implement authentication systems,IT & DevOps & Cloud
ssl/tls,implement ICT security measures,IT & DevOps & Cloud
zero trust,manage network security,IT & DevOps & Cloud
react,develop web applications,IT & DevOps & Cloud
angular,develop web applications,IT & DevOps & Cloud
vue.js,develop web applications,IT & DevOps & Cloud
node.js,develop server-side applications,IT & DevOps & Cloud
next.js,develop web applications,IT & DevOps & Cloud
typescript,use programming languages,IT & DevOps & Cloud
graphql,develop web services,IT & DevOps & Cloud
rest apis,develop web services,IT & DevOps & Cloud
webpack,develop web applications,IT & DevOps & Cloud
react native,develop mobile applications,IT & DevOps & Cloud
flutter,develop mobile applications,IT & DevOps & Cloud
swift,develop mobile applications,IT & DevOps & Cloud
kotlin,develop mobile applications,IT & DevOps & Cloud
android development,develop mobile applications,IT & DevOps & Cloud
ios development,develop mobile applications,IT & DevOps & Cloud
tensorflow,utilise machine learning,Data Science & AI & ML
pytorch,utilise machine learning,Data Science & AI & ML
keras,utilise machine learning,Data Science & AI & ML
scikit-learn,utilise machine learning,Data Science & AI & ML
xgboost,perform predictive modelling,Data Science & AI & ML
lightgbm,perform predictive modelling,Data Science & AI & ML
hugging face,perform natural language processing,Data Science & AI & ML
langchain,develop artificial intelligence applications,Data Science & AI & ML
openai api,develop artificial intelligence applications,Data Science & AI & ML
pandas,use data processing techniques,Data Science & AI & ML
numpy,use data processing techniques,Data Science & AI & ML
spark,process big data,Data Science & AI & ML
hadoop,process big data,Data Science & AI & ML
kafka,process data streams,Data Science & AI & ML
airflow,manage data pipelines,Data Science & AI & ML
dbt,manage data pipelines,Data Science & AI & ML
tableau,use data visualisation software,Data Science & AI & ML
power bi,use data visualisation software,Data Science & AI & ML
looker,use data visualisation software,Data Science & AI & ML
qlik,use data visualisation software,Data Science & AI & ML
matplotlib,create data visualisations,Data Science & AI & ML
seaborn,create data visualisations,Data Science & AI & ML
plotly,create data visualisations,Data Science & AI & ML
large language models,develop artificial intelligence applications,Data Science & AI & ML
llms,develop artificial intelligence applications,Data Science & AI & ML
generative ai,develop artificial intelligence applications,Data Science & AI & ML
prompt engineering,develop artificial intelligence applications,Data Science & AI & ML
retrieval augmented generation,develop artificial intelligence applications,Data Science & AI & ML
rag,develop artificial intelligence applications,Data Science & AI & ML
computer vision,analyse image data,Data Science & AI & ML
nlp,perform natural language processing,Data Science & AI & ML
reinforcement learning,utilise machine learning,Data Science & AI & ML
mlops,deploy machine learning models,Data Science & AI & ML
feature engineering,perform predictive modelling,Data Science & AI & ML
model deployment,deploy machine learning models,Data Science & AI & ML
mongodb,use NoSQL databases,Data Science & AI & ML
redis,use NoSQL databases,Data Science & AI & ML
elasticsearch,use NoSQL databases,Data Science & AI & ML
cassandra,use NoSQL databases,Data Science & AI & ML
postgresql,use databases,Data Science & AI & ML
mysql,use databases,Data Science & AI & ML
sql server,use databases,Data Science & AI & ML
snowflake,use cloud databases,Data Science & AI & ML
bigquery,use cloud databases,Data Science & AI & ML
databricks,process big data,Data Science & AI & ML
figma,design user interface,Creative & Design & Media
sketch,design user interface,Creative & Design & Media
adobe xd,design user interface,Creative & Design & Media
invision,create prototype of user experience solutions,Creative & Design & Media
zeplin,design user interface,Creative & Design & Media
wireframing,create prototype of user experience solutions,Creative & Design & Media
prototyping,create prototype of user experience solutions,Creative & Design & Media
ux research,execute ICT user research activities,Creative & Design & Media
ux design,use methodologies for user-centered design,Creative & Design & Media
user experience,combine business technology with user experience,Creative & Design & Media
usability testing,assess users' interaction with ICT applications,Creative & Design & Media
interaction design,design interaction model,Creative & Design & Media
information architecture,design information system,Creative & Design & Media
design thinking,apply design thinking,Creative & Design & Media
accessibility,test system accessibility for users with special needs,Creative & Design & Media
adobe photoshop,use image editing software,Creative & Design & Media
adobe illustrator,use image editing software,Creative & Design & Media
adobe indesign,use desktop publishing software,Creative & Design & Media
adobe premiere,use video editing software,Creative & Design & Media
adobe after effects,use animation software,Creative & Design & Media
adobe lightroom,use image editing software,Creative & Design & Media
adobe audition,use audio editing software,Creative & Design & Media
blender,use 3D modelling software,Creative & Design & Media
cinema 4d,use 3D modelling software,Creative & Design & Media
maya,use 3D modelling software,Creative & Design & Media
3ds max,use 3D modelling software,Creative & Design & Media
